,Colouring,Director,Critic Review Count,Duration,Director Facebook Likes,Actor 3 Facebook Likes,Actor 2,Actor 1 Facebook Likes,Gross,Genres,Actor 1,Title,IMDb Votes,Cast Facebook Likes,Actor 3,Poster Facenumber,Plot Keywords,IMDb Link,User Review Count,Language,Country,Countent Rating,Budget,Actor 2 Facebook Likes,IMDb Score,Aspect Ratio,Facebook Likes,IMDb ID,id,Popularity,Revenue,Cast,Homepage,Tagline,Overview,Runtime,Production Companies,Release Date,Vote Count,Average Vote,Release Year,Adjusted Budget,Adjusted Revenue
1313,Color,Richard Donner,199.0,102.0,503.0,795.0,David Zayas,13000.0,36883539.0,Action,Bruce Willis,16 Blocks,112769,15053,Sasha Roiz,2.0,alcoholic|courthouse|detective|jail|witness,http://www.imdb.com/title/tt0450232/?ref_=fn_tt_tt_1,305.0,English,Germany,PG-13,52000000.0,929.0,6.6,2.35,0,tt045023,2207,0.496703,65664721,Bruce Willis|Mos Def|David Morse|Jenna Stern|David Zayas,,"For a New York cop and his witness, the distance between life and death just got very short.","An aging cop is assigned the ordinary task of escorting a fast-talking witness from police custody to a courthouse, but they find themselves running the gauntlet as other forces try to prevent them from getting there.",105,Donners' Company|Cheyenne Enterprises|Alcon Entertainment|Nu Image Entertainment GmbH|Millennium Films,3/1/2006,404,6.1,2006,59491803.71,71027503.49
1429,Color,Burr Steers,191.0,102.0,23.0,651.0,Hunter Parrish,2000.0,64149837.0,Comedy,Matthew Perry,17 Again,146899,7009,Thomas Lennon,1.0,adult as child|father son relationship|high school student|janitor|school,http://www.imdb.com/title/tt0974661/?ref_=fn_tt_tt_1,185.0,English,USA,PG-13,20000000.0,2000.0,6.4,2.35,0,tt097466,16996,1.732516,136267476,Zac Efron|Leslie Mann|Matthew Perry|Tyler Steelman|Allison Miller,http://www.17againmovie.com/,Who says you're only young once?,"On the brink of a midlife crisis, 30-something Mike O'Donnell wishes he could have a ""do-over."" And that's exactly what he gets when he wakes up one morning to find he's 17 years old again. With his adult mind stuck inside the body of a teenager, Mike actually has the chance to reverse some decisions he wishes he'd never made. But maybe they weren't so bad after all.",102,New Line Cinema|Offspring Entertainment,3/11/2009,765,6.0,2009,20328008.68,138502321.8
1789,Color,Steven Spielberg,56.0,142.0,14000.0,642.0,John Belushi,16000.0,,Action,Christopher Lee,1941,25193,20201,Treat Williams,5.0,california|captain|cult film|pearl harbor|submarine,http://www.imdb.com/title/tt0078723/?ref_=fn_tt_tt_1,217.0,English,USA,PG,35000000.0,1000.0,5.9,2.35,2000,tt007872,11519,0.387797,31755742,Dan Aykroyd|Ned Beatty|John Belushi|Lorraine Gary|Murray Hamilton,,Paranoia meets pandemonium.,"It's been six days since the attack on Pearl Harbor. Panic grips California, supposedly the next target of the Japanese forces. Everywhere in California, people are suffering from war nerves. Chaos erupts all over the state. An Army Air Corps Captain, a civilian with a deranged sense of Nationalism, civilian defenders, and a Motor Pool crew all end up chasing a Japanese sub planning to attack LA.",113,Columbia Pictures|Universal Pictures|A-Team,12/14/1979,62,5.4,1979,105159390.1,95411841.73
698,Color,John Singleton,150.0,107.0,309.0,771.0,Cole Hauser,23000.0,127083765.0,Action,Paul Walker,2 Fast 2 Furious,191912,25296,Mo Gallini,5.0,bust|racing|shotgun|street racing|undercover agent,http://www.imdb.com/title/tt0322259/?ref_=fn_tt_tt_1,370.0,English,USA,PG-13,76000000.0,787.0,5.9,2.35,0,tt032225,584,0.723225,236350661,Paul Walker|Tyrese Gibson|Eva Mendes|Cole Hauser|Ludacris,,How Fast Do You Want It?,"It's a major double-cross when former police officer Brian O'Conner teams up with his ex-con buddy Roman Pearce to transport a shipment of ""dirty"" money for shady Miami-based import-export dealer Carter Verone. But the guys are actually working with undercover agent Monica Fuentes to bring Verone down.",107,Mikona Productions GmbH & Co. KG|Universal Pictures|Original Film|Ardustry Entertainment,6/5/2003,1275,6.1,2003,90086801.0,280158881.1
905,Color,Baltasar Korm??kur,265.0,109.0,175.0,459.0,Patrick Fischler,18000.0,75573300.0,Action,Denzel Washington,2 Guns,156898,20148,Fred Ward,1.0,close up of breasts|female nudity|fugitive|money|undercover,http://www.imdb.com/title/tt1272878/?ref_=fn_tt_tt_1,172.0,English,USA,R,61000000.0,497.0,6.7,2.35,22000,tt127287,136400,2.196946,131940411,Denzel Washington|Mark Wahlberg|Paula Patton|Bill Paxton|Fred Ward,http://www.2guns.net/,"2 Guns, 1 Bank.",A DEA agent and an undercover Naval Intelligence officer who have been tasked with investigating one another find they have been set up by the mob -- the very organization the two men believe they have been stealing money from.,109,Universal Studios|Marc Platt Productions|Emmett/Furla Films|Envision Entertainment Corporation,8/2/2013,1185,6.6,2013,57098034.52,123500625.3
4150,Color,Morgan Neville,149.0,91.0,9.0,13.0,Lou Adler,130.0,4946250.0,Documentary,Sheryl Crow,20 Feet from Stardom,9540,198,Merry Clayton,0.0,backup singer|band|bechdel test passed|concert footage|singer,http://www.imdb.com/title/tt2396566/?ref_=fn_tt_tt_1,80.0,English,USA,PG-13,1000000.0,19.0,7.4,1.78,14000,tt239656,159014,0.507866,0,Bette Midler|Mick Jagger|Sting|Sheryl Crow|Bruce Springsteen,,,"Backup singers live in a world that lies just beyond the spotlight. Their voices bring harmony to the biggest bands in popular music, but we've had no idea who these singers are or what lives they lead, until now.",89,Tremolo Productions,6/14/2013,59,7.3,2013,936033.3527,0.0
3617,Color,Risa Bramon Garcia,67.0,101.0,112.0,612.0,Dave Chappelle,1000.0,6851636.0,Comedy,Janeane Garofalo,200 Cigarettes,13010,2697,Gaby Hoffmann,5.0,bartender|friend|new year's eve|party|punk,http://www.imdb.com/title/tt0137338/?ref_=fn_tt_tt_1,182.0,English,USA,R,6000000.0,744.0,5.9,1.85,0,tt013733,15256,0.246669,6852450,Ben Affleck|Casey Affleck|Dave Chappelle|Kate Hudson|Janeane Garofalo,,It's 11:59 on New Years Eve... do you know where your date is?,"A collection of twentysomethings try to cope with relationships, loneliness, desire and their individual neuroses.",101,Paramount Pictures,2/26/1999,25,6.5,1999,7854317.08,8970219.179
3220,Color,Stanley Kubrick,285.0,161.0,0.0,73.0,Gary Lockwood,273.0,56715371.0,Adventure,Keir Dullea,2001: A Space Odyssey,427357,727,Glenn Beck,0.0,ancient astronaut|famous line|message from outer space|monolith|star child,http://www.imdb.com/title/tt0062622/?ref_=fn_tt_tt_1,1736.0,English,UK,G,12000000.0,117.0,8.3,2.2,24000,tt006262,62,3.309196,56715371,Keir Dullea|Douglas Rain|Gary Lockwood|William Sylvester|Daniel Richter,,An epic drama of adventure and exploration,"Humanity finds a mysterious object buried beneath the lunar surface and sets off to find its origins with the help of HAL 9000, the world's most advanced super computer.",149,Stanley Kubrick Productions|Metro-Goldwyn-Mayer (MGM),4/5/1968,1708,7.7,1968,75227563.38,355546597.2
107,Color,Roland Emmerich,367.0,158.0,776.0,310.0,Liam James,1000.0,166112167.0,Action,Oliver Platt,2012,283418,2144,Tom McCarthy,0.0,ark|catastrophe|geologist|president|writer,http://www.imdb.com/title/tt1190080/?ref_=fn_tt_tt_1,1055.0,English,USA,PG-13,200000000.0,468.0,5.8,2.35,13000,tt119008,14161,2.9797860000000003,769653595,John Cusack|Amanda Peet|Chiwetel Ejiofor|Thandie Newton|Oliver Platt,http://www.sonypictures.com/movies/2012,We Were Warned.,"Dr. Adrian Helmsley, part of a worldwide geophysical team investigating the effect on the earth of radiation from unprecedented solar storms, learns that the earth's core is heating up. He warns U.S. President Thomas Wilson that the crust of the earth is becoming unstable and that without proper preparations for saving a fraction of the world's population, the entire race is doomed. Meanwhile, writer Jackson Curtis stumbles on the same information. While the world's leaders race to build ""arks"" to escape the impending cataclysm, Curtis struggles to find a way to save his family. Meanwhile, volcanic eruptions and earthquakes of unprecedented strength wreak havoc around the world.",158,Columbia Pictures|Centropolis Entertainment|The Mark Gordon Company|Farewell Productions,10/10/2009,3533,5.6,2009,203280086.8,782276248.1
3968,Color,Dinesh D'Souza,30.0,87.0,67.0,67.0,Zackary Steven Graham,871.0,33349949.0,Documentary,Barack Obama,2016: Obama's America,9010,1111,Dinesh D'Souza,0.0,critically bashed|partisan commentary|political propoganda|punctuation in title|reenactment,http://www.imdb.com/title/tt2247692/?ref_=fn_tt_tt_1,199.0,English,USA,PG,2500000.0,118.0,5.1,1.85,0,tt224769,126509,0.075043,33400000,,http://2016themovie.com/,"Love Him, Hate Him, You Don't Know Him","2016: Obama's America takes audiences on a gripping visual journey into the heart of the worlds most powerful office to reveal the struggle of whether one man's past will redefine America over the next four years. The film examines the question, ""If Obama wins a second term, where will we be in 2016?""  Across the globe and in America, people in 2008 hungered for a leader who would unite and lift us from economic turmoil and war. True to Americas ideals, they invested their hope in a new kind of president, Barack Obama. What they didn't know is that Obama is a man with a past, and in powerful ways that past defines him--who he is, how he thinks, and where he intends to take America and the world. Immersed in exotic locales across four continents, best selling author Dinesh DSouza races against time to find answers to Obama's past and reveal where America will be in 2016.",87,,7/13/2012,11,4.7,2012,2374360.703,31721459.0
1622,Color,Robert Luketic,144.0,123.0,126.0,1000.0,Jim Sturgess,18000.0,81159365.0,Crime,Kevin Spacey,21,191470,25661,Josh Gad,2.0,based on true story|blackjack|card counting|gambling|massachusetts institute of technology,http://www.imdb.com/title/tt0478087/?ref_=fn_tt_tt_1,278.0,English,USA,PG-13,35000000.0,5000.0,6.8,2.35,0,tt047808,8065,1.377239,69823199,Jim Sturgess|Kevin Spacey|Kate Bosworth|Aaron Yoo|Liza Lapira,http://www.sonypictures.com/movies/21/,They proved the Vegas Blackjack System was beatable...by beating the hell out of it.,"Ben Campbell is a young, highly intelligent, student at M.I.T. in Boston who strives to succeed. Wanting a scholarship to transfer to Harvard School of Medicine with the desire to become a doctor, Ben learns that he cannot afford the $300,000 for the four to five years of schooling as he comes from a poor, working-class background. But one evening, Ben is introduced by his unorthodox math professor Micky Rosa into a small but secretive club of five. Students Jill, Choi, Kianna, and Fisher, who are being trained by Professor Rosa of the skill of card counting at blackjack.",123,Columbia Pictures|Relativity Media,3/27/2008,907,6.5,2008,35447532.18,70716002.68
3047,Color,Jon Lucas,168.0,93.0,24.0,499.0,Josie Loren,552.0,25675765.0,Comedy,Justin Chon,21 & Over,60407,2730,Sarah Wright,0.0,21st birthday|college student|drunken man|pubic hair|standing up to father,http://www.imdb.com/title/tt1711425/?ref_=fn_tt_tt_1,84.0,English,USA,R,13000000.0,528.0,5.9,2.35,11000,tt171142,107811,1.010837,48065672,Miles Teller|Skylar Astin|Justin Chon|Sarah Wright|Jonathan Keltz,,Finally.,"Brilliant student Jeff Chang has the most important interview of his life tomorrow.  But today is still his birthday, what starts off as a casual celebration with friends evolves into a night of debauchery that risks to derail his life plan.",93,Relativity Media|Virgin Produced|Mandeville Films|SkyLand Entertainment,3/1/2013,594,5.7,2013,12168433.59,44991072.11
2484,Color,Alejandro G. I????rritu,192.0,124.0,0.0,430.0,Eddie Marsan,6000.0,16248701.0,Drama,Naomi Watts,21 Grams,189683,7567,Danny Huston,0.0,accident|faith|love|mathematician|nonlinear timeline,http://www.imdb.com/title/tt0315733/?ref_=fn_tt_tt_1,559.0,English,USA,R,20000000.0,979.0,7.7,1.85,0,tt031573,470,0.995361,60427839,Sean Penn|Naomi Watts|Benicio del Toro|Danny Huston|Carly Nahon,http://www.21-grams.com/index.php,How much does life weigh?,"This is the story of three gentle persons: Paul Rivers an ailing mathematician lovelessly married to an English Ã©migrÃ©, Christina Peck, an upper-middle-class suburban housewife, happily married and mother of two little girls, and Jack Jordan, an ex-convict who has found in his Christian faith the strength to raise a family. They will be brought together by a terrible accident that will change their lives. By the final frame, none of them will be the same as they will learn harsh truths about love, faith, courage, desire and guilt, and how chance can change our worlds irretrievably, forever.",124,This Is That Productions|Y Productions|Mediana Productions Filmgesellschaft,9/6/2003,520,7.0,2003,23707052.9,71628298.78
1360,Color,Phil Lord,375.0,109.0,97.0,839.0,Dax Flame,17000.0,138447667.0,Action,Channing Tatum,21 Jump Street,408302,19968,Rob Riggle,2.0,narcotics|parody|police|remake|undercover cop,http://www.imdb.com/title/tt1232829/?ref_=fn_tt_tt_1,345.0,English,USA,R,42000000.0,971.0,7.2,2.35,39000,tt123282,64688,3.151021,201585328,Channing Tatum|Jonah Hill|Brie Larson|Dave Franco|Ellie Kemper,http://www.21jumpstreet-movie.com/,They thought the streets were mean. Then they went back to high school.,"In high school, Schmidt was a dork and Jenko was the popular jock. After graduation, both of them joined the police force and ended up as partners riding bicycles in the city park. Since they are young and look like high school students, they are assigned to an undercover unit to infiltrate a drug ring that is supplying high school students synthetic drugs.",109,Columbia Pictures|Original Film|Stephen J. Cannell Productions|Relativity Media|Metro-Goldwyn-Mayer (MGM),3/12/2012,3015,6.7,2012,39889259.82,191454512.5
1127,Color,Phil Lord,330.0,112.0,97.0,584.0,Craig Roberts,17000.0,191616238.0,Action,Channing Tatum,22 Jump Street,258186,19428,Amber Stevens West,2.0,college|drugs|hidden camera|tattoo|undercover,http://www.imdb.com/title/tt2294449/?ref_=fn_tt_tt_1,322.0,English,USA,R,50000000.0,920.0,7.1,2.35,24000,tt229444,187017,2.805019,188441614,Jonah Hill|Channing Tatum|Dave Franco|Ice Cube|Nick Offerman,http://www.22jumpstreetmovie.com,They're not 21 anymore,"After making their way through high school (twice), big changes are in store for officers Schmidt and Jenko when they go deep undercover at a local college. But when Jenko meets a kindred spirit on the football team, and Schmidt infiltrates the bohemian art major scene, they begin to question their partnership. Now they don't have to just crack the case - they have to figure out if they can have a mature relationship. If these two overgrown adolescents can grow from freshmen into real men, college might be the best thing that ever happened to them.",112,Columbia Pictures|Original Film|Media Rights Capital|Metro-Goldwyn-Mayer (MGM)|Cannell Studios,6/5/2014,2416,7.0,2014,46054552.54,173571884.2
3770,Color,Spike Lee,202.0,108.0,0.0,346.0,Rosario Dawson,22000.0,13060843.0,Drama,Philip Seymour Hoffman,25th Hour,149528,26050,Aaron Stanford,0.0,bar|dream|drug dealing|nightclub|widower,http://www.imdb.com/title/tt0307901/?ref_=fn_tt_tt_1,454.0,English,USA,R,15000000.0,3000.0,7.7,2.35,0,tt030790,1429,1.005627,13060843,Edward Norton|Philip Seymour Hoffman|Barry Pepper|Rosario Dawson|Anna Paquin,,This life was so close to never happening.,"The filmed adaptation from the David Benioff's novel of the same name. Set in New York, a convicted drug dealer named Monty has one day left of freedom before he is sent to prison. Anger, blame, frustration, betrayal, guilt and loneliness are themes on this last day of friends, family, parties, saying goodbye, and setting things straight. A Spike Lee joint.",135,40 Acres & A Mule Filmworks|Touchstone Pictures,12/16/2002,309,6.9,2002,18183920.9,15833155.74
1832,Color,Anne Fletcher,175.0,111.0,98.0,71.0,Bern Cohen,2000.0,76806312.0,Comedy,Judy Greer,27 Dresses,124501,2978,Yetta Gottesman,1.0,boss|bridesmaid|friend|love|wedding,http://www.imdb.com/title/tt0988595/?ref_=fn_tt_tt_1,154.0,English,USA,PG-13,30000000.0,805.0,6.1,2.35,0,tt098859,6557,1.400898,160259319,Katherine Heigl|James Marsden|Malin Ã…kerman|Judy Greer|Edward Burns,http://www.27dressesthemovie.com/,She's about to find the perfect fit.,Altruistic Jane finds herself facing her worst nightmare as her younger sister announces her engagement to the man Jane secretly adores.,111,Spyglass Entertainment|Fox 2000 Pictures|Dune Entertainment III,1/10/2008,610,6.1,2008,30383599.01,162308496.2
1352,Color,Betty Thomas,116.0,103.0,84.0,664.0,Viggo Mortensen,12000.0,37035515.0,Comedy,Steve Buscemi,28 Days,34597,23864,Elizabeth Perkins,1.0,12 step program|box office hit|car accident|vomiting|wedding,http://www.imdb.com/title/tt0191754/?ref_=fn_tt_tt_1,194.0,English,USA,PG-13,43000000.0,10000.0,6.0,1.37,0,tt019175,10468,0.54651,0,Sandra Bullock|Viggo Mortensen|Dominic West|Elizabeth Perkins|Alan Tudyk,,The Life of the Party... before she got a life.,"After getting into a car accident while drunk on the day of her sister's wedding, Gwen Cummings is given a choice between prison or a rehab center. She chooses rehab, but is extremely resistant to taking part in any of the treatment programs they have to offer, refusing to admit that she has an alcohol addiction.",103,Columbia Pictures,4/6/2000,123,6.0,2000,54450560.92,0.0
3442,Color,Danny Boyle,224.0,113.0,0.0,27.0,Megan Burns,133.0,45063889.0,Drama,Noah Huntley,28 Days Later...,297250,241,David Schneider,0.0,laboratory|london england|military|virus|zombie apocalypse,http://www.imdb.com/title/tt0289043/?ref_=fn_tt_tt_1,1441.0,English,UK,R,8000000.0,32.0,7.6,1.85,11000,tt028904,170,1.839408,82719885,Cillian Murphy|Naomie Harris|Noah Huntley|Christopher Dunne|Emma Hitching,,His fear began when he woke up alone. His terror began when he realised he wasn't.,"Twenty-eight days after a killer virus was accidentally unleashed from a British research facility, a small group of London survivors are caught in a desperate struggle to protect themselves from the infected. Carried by animals and humans, the virus turns those it infects into homicidal maniacs -- and it's absolutely impossible to contain.",113,DNA Films|British Film Council,10/31/2002,1015,6.9,2002,6061306.9679999985,100278123.1
2881,Color,Juan Carlos Fresnadillo,274.0,100.0,35.0,306.0,Harold Perrineau,10000.0,28637507.0,Drama,Jeremy Renner,28 Weeks Later,212167,11471,Catherine McCormack,1.0,paris france|rage|sniper|u.s. army|zombie apocalypse,http://www.imdb.com/title/tt0463854/?ref_=fn_tt_tt_1,713.0,English,UK,R,15000000.0,1000.0,7.0,1.85,0,tt046385,1562,1.368087,64238440,Imogen Poots|Robert Carlyle|Rose Byrne|Jeremy Renner|Harold Perrineau,,When days turn to weeks... the horror returns.,"In this chilling sequel to 28 Days Later, the inhabitants of the British Isles appear to have lost their battle against the onslaught of disease, as the deadly rage virus has killed every citizen there. Six months later, a group of Americans dare to set foot on the isles, convinced the danger has come and gone. But it soon becomes all too clear that the scourge continues to live, waiting to pounce on its next victims.",100,DNA Films|Figment Films|Sociedad General de Cine S.A.|UK Film Council|Fox Atomic,4/26/2007,702,6.3,2007,15775028.74,67557549.15
